Title;Release date;Country;Director;Writer;Rating;ImdbUrl
The Shawshank Redemption;14.10.1994;ÑØÀ; Frank Darabont;Frank Darabont;9,2;http://www.imdb.com/title/tt0111161/
The Godfather;1972;;;;9,2;http://www.imdb.com/title/tt0068646/
The Godfather: Part II;1974;;;;;http://www.imdb.com/title/tt0071562/
Pulp Fiction;1994;;;;8,9;http://www.imdb.com/title/tt0110912/
The Good, the Bad and the Ugly;1966;;;;8,9;http://www.imdb.com/title/tt0060196/
12 Angry Men;1957;;;;8,9;http://www.imdb.com/title/tt0050083/
Schindler's List;1993;;;;8,9;http://www.imdb.com/title/tt0108052/
The Dark Knight;2008;;;;8,8;http://www.imdb.com/title/tt0468569/
The Lord of the Rings: The Return of the King;2003;;;;8,8;http://www.imdb.com/title/tt0167260/
Fight Club;1999;;;;8,8;http://www.imdb.com/title/tt0137523/
Star Wars: Episode V - The Empire Strikes Back;1980;;;;8,8;http://www.imdb.com/title/tt0080684/
One Flew Over the Cuckoo's Nest;1975;;;;8,8;http://www.imdb.com/title/tt0073486/
The Lord of the Rings: The Fellowship of the Ring;2001;;;;8,7;
Inception;2010;;;;8,7;http://www.imdb.com/title/tt1375666/
Goodfellas;1990;;;;8,7;http://www.imdb.com/title/tt0099685/
Star Wars;1977;;;;8,7;http://www.imdb.com/title/tt0076759/
Seven Samurai;1954;ßïîíèÿ; Akira Kurosawa;Shinobu Hashimoto;8,7;http://www.imdb.com/title/tt0047478/
The Matrix;1999;;;;8,7;http://www.imdb.com/title/tt0133093/
City of God;2002;;;;8,7;http://www.imdb.com/title/tt0317248/
Forrest Gump;1994;;;;8,7;http://www.imdb.com/title/tt0109830/
Once Upon a Time in the West;1968;;;;8,7;http://www.imdb.com/title/tt0064116/
The Lord of the Rings: The Two Towers;2002;;;;8,7;http://www.imdb.com/title/tt0167261/
Casablanca;1942;;;;8,6;http://www.imdb.com/title/tt0034583/
Se7en;1995;;;;8,6;http://www.imdb.com/title/tt0114369/
The Silence of the Lambs;1991;;;;8,6;http://www.imdb.com/title/tt0102926/
The Dark Knight Rises;;;;;8,6;http://www.imdb.com/title/tt1345836/
Raiders of the Lost Ark;1981;;;;8,6;http://www.imdb.com/title/tt0082971/
The Usual Suspects;1995;;;;8,6;http://www.imdb.com/title/tt0114814/
Rear Window;1954;;;;;http://www.imdb.com/title/tt0047396/
Psycho;1960;;;;8,6;http://www.imdb.com/title/tt0054215/
It's a Wonderful Life;1946;;;;8,6;http://www.imdb.com/title/tt0038650/
L?on: The Professional;1994;;;;8,6;http://www.imdb.com/title/tt0110413/
Sunset Blvd.;1950;;;;8,6;http://www.imdb.com/title/tt0043014/
Memento;2000;;;;8,6;http://www.imdb.com/title/tt0209144/
American History X;1998;;;;8,5;http://www.imdb.com/title/tt0120586/
Apocalypse Now;1979;;;;8,5;http://www.imdb.com/title/tt0078788/
Terminator 2: Judgment Day;1991;;;;8,5;http://www.imdb.com/title/tt0103064/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;;;;8,5;http://www.imdb.com/title/tt0057012/
Saving Private Ryan;1998;;;;8,5;http://www.imdb.com/title/tt0120815/
North by Northwest;1959;;;;8,5;http://www.imdb.com/title/tt0053125/
Alien;1979;;;Dan O'Bannon;8,5;http://www.imdb.com/title/tt0078748/
City Lights;1931;;;;8,5;http://www.imdb.com/title/tt0021749/
Spirited Away;2001;;;;8,5;http://www.imdb.com/title/tt0245429/
Citizen Kane;1941;;;;8,5;http://www.imdb.com/title/tt0033467/
The Shining;1980;;;;8,5;http://www.imdb.com/title/tt0081505/
American Beauty;01.10.1999;ÑØÀ;Sam Mendes;;8,5;http://www.imdb.com/title/tt0169547/
Modern Times;1936;;;;8,5;http://www.imdb.com/title/tt0027977/
Taxi Driver;1976;;;;8,5;http://www.imdb.com/title/tt0075314/
Vertigo;1958;;;;8,5;http://www.imdb.com/title/tt0052357/
Toy Story 3;2010;;;;8,5;http://www.imdb.com/title/tt0435761/
The Departed;2006;;;;8,4;http://www.imdb.com/title/tt0407887/
The Pianist;2002;;;;8,4;http://www.imdb.com/title/tt0253474/
Back to the Future;1985;;;;8,4;http://www.imdb.com/title/tt0088763/
M;31.08.1931;Øâåöèÿ;Fritz Lang;Thea von Harbou;8,4;http://www.imdb.com/title/tt0022100/
Paths of Glory;1957;;;;8,4;http://www.imdb.com/title/tt0050825/
Double Indemnity;1944;;;;8,4;http://www.imdb.com/title/tt0036775/
Aliens;1986;;;;8,4;http://www.imdb.com/title/tt0090605/
Life Is Beautiful;1997;;;;8,4;http://www.imdb.com/title/tt0118799/
WALL·E;2008;;;;8,4;http://www.imdb.com/title/tt0910970/
The Lives of Others;2006;;;;8,4;http://www.imdb.com/title/tt0405094/
A Clockwork Orange;1971;;;;8,4;http://www.imdb.com/title/tt0066921/
Am?lie;2001;;;;8,4;http://www.imdb.com/title/tt0211915/
To Kill a Mockingbird;1962;;;;8,4;http://www.imdb.com/title/tt0056592/
Lawrence of Arabia;1962;;;;8,4;http://www.imdb.com/title/tt0056172/
Gladiator;2000;;;;8,4;http://www.imdb.com/title/tt0172495/
The Green Mile;1999;;;;8,4;http://www.imdb.com/title/tt0120689/
The Prestige;2006;;;;8,4;http://www.imdb.com/title/tt0482571/
Reservoir Dogs;1992;;;;8,4;http://www.imdb.com/title/tt0105236/
The Great Dictator;1940;;;;8,4;http://www.imdb.com/title/tt0032553/
Das Boot;1981;;;;8,4;http://www.imdb.com/title/tt0082096/
Requiem for a Dream;2000;;;;8,4;http://www.imdb.com/title/tt0180093/
The Third Man;1949;;;;8,4;http://www.imdb.com/title/tt0041959/
Eternal Sunshine of the Spotless Mind;2004;;;;8,4;http://www.imdb.com/title/tt0338013/
The Treasure of the Sierra Madre;1948;;;;8,4;http://www.imdb.com/title/tt0040897/
The Intouchables;2011;;;;8,4;http://www.imdb.com/title/tt1675434/
Chinatown;1974;;;;8,3;http://www.imdb.com/title/tt0071315/
Cinema Paradiso;1988;;;;8,3;http://www.imdb.com/title/tt0095765/
L.A. Confidential;1997;;;;8,3;http://www.imdb.com/title/tt0119488/
Once Upon a Time in America;1984;;;;8,3;http://www.imdb.com/title/tt0087843/
Full Metal Jacket;1987;;;;8,3;http://www.imdb.com/title/tt0093058/
Monty Python and the Holy Grail;1975;;;;8,3;http://www.imdb.com/title/tt0071853/
Star Wars: Episode VI - Return of the Jedi;1983;;;;8,3;http://www.imdb.com/title/tt0086190/
The Lion King;1994;;;;8,3;http://www.imdb.com/title/tt0110357/
Braveheart;1995;;;;8,3;http://www.imdb.com/title/tt0112573/
Singin' in the Rain;1952;;;;8,3;http://www.imdb.com/title/tt0045152/
Some Like It Hot;1959;;;;8,3;http://www.imdb.com/title/tt0053291/
The Avengers;2012;;;;8,3;http://www.imdb.com/title/tt0848228/
Oldboy;2003;;;;8,3;http://www.imdb.com/title/tt0364569/
Amadeus;1984;;;;8,3;http://www.imdb.com/title/tt0086879/
Rashomon;1950;;;;8,3;http://www.imdb.com/title/tt0042876/
Metropolis;1927;;;;8,3;http://www.imdb.com/title/tt0017136/
Bicycle Thieves;1948;;;;8,3;http://www.imdb.com/title/tt0040522/
All About Eve;1950;;;;8,3;http://www.imdb.com/title/tt0042192/
Unforgiven;1992;;;;8,3;http://www.imdb.com/title/tt0105695/
The Apartment;1960;;;;8,3;http://www.imdb.com/title/tt0053604/
Raging Bull;1980;;;;8,3;http://www.imdb.com/title/tt0081398/
2001: A Space Odyssey;1968;;;;8,3;http://www.imdb.com/title/tt0062622/
The Bridge on the River Kwai;1957;;;;8,3;http://www.imdb.com/title/tt0050212/
The Sting;1973;;;;8,3;http://www.imdb.com/title/tt0070735/
Indiana Jones and the Last Crusade;1989;;;;8,3;http://www.imdb.com/title/tt0097576/
Princess Mononoke;1997;;;;8,3;http://www.imdb.com/title/tt0119698/
A Separation;2011;;;;8,3;http://www.imdb.com/title/tt1832382/
Die Hard;1988;;;;8,3;http://www.imdb.com/title/tt0095016/
